"ULTIMA ATUALIZACAO";"06/08/2021 02:06"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2018";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"";"02/01/2018";"Despesa com pagamento de aluguel de imóvel para o escritório do Senador Acir Gurgacz";"6000";"2088462"
"2018";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"M2CJMM";"02/01/2018";"Companhia Aérea: AVIANCA, Localizador: M2CJMM. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 6109 - NVTGRU - 31/01/2018;";"274,99";"2088476"
"2018";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"SFEXYF";"02/01/2018";"Companhia Aérea: LATAM, Localizador: SFEXYF. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3303 - NVTCGH - 15/01/2018; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3594 - BSBPVH - 15/01/2018; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3704 - CGHBSB - 15/01/2018;";"1094,29";"2088528"
"2018";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"V64HTR";"24/01/2018";"Companhia Aérea: AZUL, Localizador: V64HTR. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2633 - BVHCGB - 25/01/2018; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2515 - GRUNVT - 25/01/2018; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2605 - CGBGRU - 25/01/2018;";"1553,99";"2088475"
"2018";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"002/18";"01/02/2018";"Despesa com pagamento de aluguel de imóvel para o escritório político do Senador Acir Gurgacz";"6000";"2088477"
"2018";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"27.170.469/0001-25";"Infiniti Comunicação";"0019";"07/02/2018";"Despesa com divulgação da atividade parlamentar em rádio";"1000";"2088478"
"2018";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"00000005";"02/03/2018";"Despesa com divulgação da atividade parlamentar no site INFORMANAHORA.COM.BR";"3000";"2090387"
"2018";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"06.146.170/0001-65";"RICCI COMUNICAÇÃO VISUAL EIRELI ME";"208";"26/02/2018";"Despesa com divulgação da atividade parlamentar";"2000";"2090374"
"2018";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"ZEKZ3Y";"09/02/2018";"Companhia Aérea: GOL, Localizador: ZEKZ3Y. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1418 - GRUBSB - 17/02/2018;";"1063,42";"2088479"
"2018";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"PZ7KUC";"15/02/2018";"Companhia Aérea: AVIANCA, Localizador: PZ7KUC. Passageiros: JOSÉ LUIZ RAYMUNDO (Matrícula 140986, COMISSIONADO), Voo: 6240 - CWBBSB - 15/02/2018;";"339,02";"2088480"
"2018";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63.764.211/0001-10";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"AB51SM";"23/02/2018";"Companhia Aérea: AZUL, Localizador: AB51SM. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4390 - CGBJPR - 23/02/2018; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2855 - BSBCGB - 23/02/2018;";"1244,93";"2090367"
